station_id,latitude,longitude,yearly_avg_temp_c,days_recorded
USC00244558,48.3042,-114.2642,5.83,365
USR0000AALC,62.8167,-141.4667,2.84,323
USR0000AALP,33.8417,-109.1222,8.93,363
USR0000AASI,67.475,-162.2664,-0.66,359
USR0000ABAN,34.14,-87.3622,16.65,365
USR0000ABCK,65.5847,-144.3636,-2.83,360
USR0000ABEN,65.2833,-143.0667,0.54,340
USR0000ABLA,33.0867,-109.9506,19.33,365
USR0000ABNS,30.2528,-87.8125,21.44,365
USR0000ABNT,61.9358,-150.9858,3.82,362
USR0000ABNV,35.1428,-93.895,16.28,365
USR0000ABOL,63.8667,-145.8333,-1.83,318
USR0000ABOX,65.2989,-158.9053,-0.27,365
USR0000ABRK,36.7944,-113.7567,9.53,363
USR0000ABRO,60.4833,-149.7667,5.9,365
USR0000ABUC,36.9306,-112.1997,10.2,365
USR0000ABUU,65.9081,-160.8742,-1.07,315
USR0000ACAA,31.445,-110.28,15.73,365
USR0000ACAM,61.1586,-149.7967,4.8,348
USR0000ACAN,36.2047,-112.0622,7.21,365
USR0000ACCR,65.1892,-147.5003,0.63,363
USR0000ACHA,65.0167,-148.5833,1.06,365
USR0000ACHC,62.1242,-141.8453,-1.2,365
USR0000ACHE,34.5964,-112.0481,13.04,365
USR0000ACHG,60.2233,-153.4664,-1.98,365
USR0000ACHI,62.1333,-142.0833,-2.7,365
USR0000ACHL,66.5906,-144.3411,-3.41,365
USR0000ACHM,67.7558,-150.4933,-3.83,364
USR0000ACHR,32,-109.35,15.58,365
USR0000ACHS,62.5653,-144.6647,0.07,365
USR0000ACHT,61.5319,-144.4397,1.99,365
USR0000ACKN,64.06,-141.9294,-2.45,365
USR0000ACOA,65.3139,-143.1322,-2.09,365
USR0000ACOL,32.7039,-109.9139,6.09,365
USR0000ACOT,65.3458,-155.9361,-0.02,363
USR0000ACOV,58.8025,-155.5628,4.15,364
USR0000ACRO,34.2083,-112.3333,12.61,365
USR0000ADEN,63.7322,-148.9055,0.25,347
USR0000ADEV,66.2758,-164.5308,-1.25,351
USR0000ADON,63.9833,-145.65,-0.21,365
USR0000ADRL,33.3597,-109.8331,11.11,365
USR0000ADRY,36.45,-112.24,5.82,365
USR0000ADUN,63.2675,-149.5392,-0.75,365
USR0000ADVK,35.6111,-93.3333,14.03,365
USR0000AEAG,64.7761,-141.1619,-0.33,365
USR0000AEIE,63.4314,-150.3094,0.72,365
USR0000AEMP,31.7806,-110.6347,15.71,365
USR0000AERV,61.2725,-149.3661,5.99,337
USR0000AFAI,64.8367,-147.615,-0.2,364
USR0000AFAP,33.7011,-109.7058,9.96,347
USR0000AFAR,63.7233,-154.0767,-18.15,2
USR0000AFLG,35.145,-111.675,8.3,365
USR0000AFLT,62.8228,-156.6139,2.2,322
USR0000AFOU,36.7939,-112.0422,10.97,365
USR0000AFPK,58.7058,-153.5181,5.44,365
USR0000AFRA,35.8456,-113.055,10.72,365
USR0000AFYK,66.57,-145.2508,-2.95,365
USR0000AGEO,63.8375,-144.3503,1.21,365
USR0000AGLA,58.4564,-135.8697,7.14,365
USR0000AGLO,33.3503,-110.6519,17.43,365
USR0000AGOO,34.75,-113.3,15.82,365
USR0000AGOP,64.2381,-145.2669,1.31,365
USR0000AGRA,67.0333,-143.2833,-1.63,365
USR0000AGRE,34.06,-109.45,8.29,358
USR0000AGRN,60.7275,-149.287,5.09,346
USR0000AGUN,36.7044,-112.5833,13.07,365
USR0000AGUT,32.8819,-109.3092,14.06,365
USR0000AHAI,55.3503,-132.6983,7.23,365
USR0000AHAR,60.1489,-149.7986,0.57,250
USR0000AHAV,34.7872,-114.5617,21.03,365
USR0000AHAY,65.2017,-161.155,0.55,365
USR0000AHBR,34.3978,-110.5644,9.9,365
USR0000AHIL,33.6183,-110.42,10.91,365
USR0000AHLM,55.5297,-131.3661,8.06,365
USR0000AHOG,66.2167,-155.6667,0.17,351
USR0000AHOM,59.7458,-151.2083,5.5,365
USR0000AHON,57.8,-135.1333,6.67,364
USR0000AHOR,32.9375,-110.4961,18.24,365
USR0000AHOW,68.1561,-156.8958,-1.31,294
USR0000AHPI,35.8103,-110.2069,11.74,365
USR0000AHPK,31.6753,-110.88,13.62,362
USR0000AHUM,34.1164,-112.3006,15.6,365
USR0000AHUR,36.6992,-113.2072,12.71,365
USR0000AIMY,67.5461,-157.0692,-3.8,364
USR0000AINI,70.0036,-153.0836,-6.16,358
USR0000AIRO,34.5853,-112.5019,12.57,365
